Date,Open,High,Low,Close,Volume
10/04/2023,"14.77","14.94","14.44","14.87","2,586,368"
10/03/2023,"15.29","15.29","14.57","14.60","4,510,325"
10/02/2023,"16.30","16.31","15.26","15.39","6,087,651"
09/29/2023,"17.05","17.26","16.40","16.46","3,397,024"
09/28/2023,"18.02","18.10","16.44","16.84","7,431,938"
09/27/2023,"16.87","17.26","16.81","17.15","1,681,325"
09/26/2023,"17.38","17.82","16.78","16.78","2,726,813"
09/25/2023,"17.00","17.72","16.85","17.67","2,181,230"
09/22/2023,"17.18","17.35","17.00","17.18","2,102,886"
09/21/2023,"17.28","17.32","16.65","17.02","2,913,533"
09/20/2023,"17.63","17.93","17.45","17.52","2,134,121"
09/19/2023,"17.59","17.64","17.13","17.52","2,584,791"
09/18/2023,"17.99","18.10","17.35","17.55","3,694,591"
09/15/2023,"18.36","18.61","18.15","18.22","6,166,608"
09/14/2023,"17.80","18.52","17.60","18.33","3,077,962"
09/13/2023,"17.31","17.93","17.27","17.81","3,012,556"
09/12/2023,"17.53","18.50","17.19","17.23","5,179,405"
09/11/2023,"17.85","17.85","16.90","17.02","3,543,797"
09/08/2023,"18.15","18.50","17.35","17.71","4,694,034"
09/07/2023,"19.13","19.48","17.61","18.89","5,021,288"
09/06/2023,"19.06","19.15","18.42","18.75","6,107,245"
09/05/2023,"18.45","19.34","18.26","19.23","3,781,292"
09/01/2023,"18.66","18.73","18.32","18.42","2,135,901"
08/31/2023,"18.41","19.42","18.15","18.55","4,674,143"
08/30/2023,"18.20","18.53","17.91","18.37","1,884,501"
08/29/2023,"17.60","18.55","17.60","18.24","2,709,238"
08/28/2023,"17.35","18.11","17.25","17.57","3,007,418"
08/25/2023,"16.50","17.18","16.45","17.13","3,423,462"
08/24/2023,"16.94","16.98","16.18","16.36","3,624,485"
08/23/2023,"17.25","17.34","16.88","16.89","2,909,054"
08/22/2023,"18.62","18.62","17.25","17.26","3,791,911"
08/21/2023,"18.30","18.82","18.20","18.48","2,864,735"
08/18/2023,"18.18","18.66","18.14","18.36","2,029,098"
08/17/2023,"18.79","18.81","18.30","18.38","2,056,830"
08/16/2023,"19.18","19.34","18.55","18.59","3,015,627"
08/15/2023,"19.77","19.78","19.09","19.33","2,290,326"
08/14/2023,"19.75","20.01","19.08","19.96","3,329,291"
08/11/2023,"20.03","20.38","19.97","20.19","1,522,912"
08/10/2023,"20.00","20.29","19.87","20.19","1,432,446"
08/09/2023,"20.85","20.85","19.82","19.93","2,929,553"
08/08/2023,"20.70","20.90","20.28","20.74","1,431,250"
08/07/2023,"20.90","21.24","20.48","21.07","1,441,290"
08/04/2023,"20.95","21.89","20.89","20.98","2,406,033"
08/03/2023,"20.88","21.18","20.74","20.93","1,324,938"
08/02/2023,"21.15","21.15","20.34","20.83","2,630,714"
08/01/2023,"21.95","22.00","21.26","21.50","2,574,804"
07/31/2023,"22.00","22.38","21.85","22.20","1,975,391"
07/28/2023,"22.02","22.49","21.79","21.93","2,647,747"
07/27/2023,"22.94","23.49","22.13","22.22","3,370,913"
07/26/2023,"22.70","22.99","22.48","22.70","1,489,152"
07/25/2023,"23.10","23.10","22.53","22.85","1,671,991"
07/24/2023,"22.42","23.04","22.20","23.04","2,970,433"
07/21/2023,"23.05","23.22","22.16","22.18","3,167,916"
07/20/2023,"23.01","23.22","22.66","22.91","2,256,659"
07/19/2023,"23.42","23.58","22.96","23.17","2,250,133"
07/18/2023,"22.72","23.80","22.68","23.08","2,345,137"
07/17/2023,"22.88","23.31","22.70","22.82","2,033,970"
07/14/2023,"23.49","23.72","22.94","22.97","2,178,827"
07/13/2023,"23.54","23.98","23.42","23.46","1,912,157"
07/12/2023,"24.25","24.31","23.44","23.44","1,742,244"
07/11/2023,"23.20","24.44","23.20","23.91","3,063,534"
07/10/2023,"22.61","23.56","22.00","23.54","3,318,214"
