Time,Node,Stock,Action,Demand,Delivery,Reward,Backlog
65,B,0.0,0.0,0.0,0.0,-420.5,True
65,C,694.0,15.0,0.0,15.0,-420.5,False
66,A,736.0,15.0,0.0,15.0,-9530.5,False
66,B,0.0,0.0,9.0,0.0,-9530.5,True
66,C,699.0,15.0,10.0,15.0,-9530.5,False
67,A,751.0,15.0,0.0,15.0,-11745.5,False
67,B,0.0,0.0,11.0,0.0,-11745.5,True
67,C,714.0,15.0,0.0,15.0,-11745.5,False
68,A,766.0,15.0,0.0,15.0,-760.5,False
68,B,0.0,0.0,0.0,0.0,-760.5,True
68,C,729.0,15.0,0.0,15.0,-760.5,False
69,A,776.0,15.0,5.0,15.0,-468.0,False
69,B,0.0,0.0,0.0,0.0,-468.0,True
69,C,734.0,15.0,10.0,15.0,-468.0,False
70,A,791.0,15.0,0.0,15.0,-7783.0,False
70,B,0.0,0.0,7.0,0.0,-7783.0,True
70,C,749.0,15.0,0.0,15.0,-7783.0,False
71,A,797.0,15.0,9.0,15.0,-613.5,False
71,B,0.0,0.0,0.0,0.0,-613.5,True
71,C,764.0,15.0,0.0,15.0,-613.5,False
72,A,798.0,15.0,14.0,15.0,-378.0,False
72,B,0.0,0.0,0.0,0.0,-378.0,True
72,C,772.0,15.0,7.0,15.0,-378.0,False
73,A,813.0,15.0,0.0,15.0,-11813.0,False
73,B,0.0,0.0,11.0,0.0,-11813.0,True
73,C,787.0,15.0,0.0,15.0,-11813.0,False
74,A,828.0,15.0,0.0,15.0,-582.0,False
74,B,0.0,0.0,0.0,0.0,-582.0,True
74,C,790.0,15.0,12.0,15.0,-582.0,False
75,A,828.0,15.0,15.0,15.0,-529.5,False
75,B,0.0,0.0,0.0,0.0,-529.5,True
75,C,805.0,15.0,0.0,15.0,-529.5,False
76,A,836.0,15.0,7.0,15.0,-701.0,False
76,B,0.0,0.0,0.0,0.0,-701.0,True
76,C,820.0,15.0,0.0,15.0,-701.0,False
77,A,851.0,15.0,0.0,15.0,-9856.0,False
77,B,0.0,0.0,9.0,0.0,-9856.0,True
77,C,835.0,15.0,0.0,15.0,-9856.0,False
78,A,860.0,15.0,6.0,15.0,-748.0,False
78,B,0.0,0.0,0.0,0.0,-748.0,True
78,C,850.0,15.0,0.0,15.0,-748.0,False
79,A,875.0,15.0,0.0,15.0,-883.0,False
79,B,0.0,0.0,0.0,0.0,-883.0,True
79,C,865.0,15.0,0.0,15.0,-883.0,False
80,A,890.0,15.0,0.0,15.0,-9713.5,False
80,B,0.0,0.0,9.0,0.0,-9713.5,True
80,C,871.0,15.0,9.0,15.0,-9713.5,False
81,A,905.0,15.0,0.0,15.0,-908.5,False
81,B,0.0,0.0,0.0,0.0,-908.5,True
81,C,886.0,15.0,0.0,15.0,-908.5,False
82,A,917.0,15.0,3.0,15.0,-862.0,False
82,B,0.0,0.0,0.0,0.0,-862.0,True
82,C,901.0,15.0,0.0,15.0,-862.0,False
83,A,932.0,15.0,0.0,15.0,-732.0,False
83,B,0.0,0.0,0.0,0.0,-732.0,True
83,C,906.0,15.0,10.0,15.0,-732.0,False
84,A,936.0,15.0,11.0,15.0,-721.5,False
84,B,0.0,0.0,0.0,0.0,-721.5,True
84,C,921.0,15.0,0.0,15.0,-721.5,False
85,A,951.0,15.0,0.0,15.0,-874.5,False
85,B,0.0,0.0,0.0,0.0,-874.5,True
85,C,932.0,15.0,4.0,15.0,-874.5,False
86,A,966.0,15.0,0.0,15.0,-10867.0,False
86,B,0.0,0.0,10.0,0.0,-10867.0,True
86,C,942.0,15.0,5.0,15.0,-10867.0,False
87,A,975.0,15.0,6.0,15.0,-859.0,False
87,B,0.0,0.0,0.0,0.0,-859.0,True
87,C,957.0,15.0,0.0,15.0,-859.0,False
88,A,979.0,15.0,11.0,15.0,-5768.5,False
88,B,0.0,0.0,5.0,0.0,-5768.5,True
88,C,972.0,15.0,0.0,15.0,-5768.5,False
89,A,994.0,15.0,0.0,15.0,-1003.5,False
89,B,0.0,0.0,0.0,0.0,-1003.5,True
89,C,987.0,15.0,0.0,15.0,-1003.5,False
90,A,1002.0,15.0,7.0,15.0,-608.5,False
90,B,0.0,0.0,0.0,0.0,-608.5,True
90,C,989.0,15.0,13.0,15.0,-608.5,False
91,A,1017.0,15.0,0.0,15.0,-1023.5,False
91,B,0.0,0.0,0.0,0.0,-1023.5,True
91,C,1004.0,15.0,0.0,15.0,-1023.5,False
92,A,1032.0,15.0,0.0,15.0,-9751.5,False
92,B,0.0,0.0,9.0,0.0,-9751.5,True
92,C,1005.0,15.0,14.0,15.0,-9751.5,False
93,A,1047.0,15.0,0.0,15.0,-17046.5,False
93,B,0.0,0.0,16.0,0.0,-17046.5,True
93,C,1020.0,15.0,0.0,15.0,-17046.5,False
94,A,1062.0,15.0,0.0,15.0,-1061.5,False
94,B,0.0,0.0,0.0,0.0,-1061.5,True
94,C,1035.0,15.0,0.0,15.0,-1061.5,False
95,A,1069.0,15.0,8.0,15.0,-12912.5,False
95,B,0.0,0.0,12.0,0.0,-12912.5,True
95,C,1050.0,15.0,0.0,15.0,-12912.5,False
96,A,1078.0,15.0,6.0,15.0,-677.5,False
96,B,0.0,0.0,0.0,0.0,-677.5,True
96,C,1051.0,15.0,14.0,15.0,-677.5,False
97,A,1081.0,15.0,12.0,15.0,-8846.5,False
97,B,0.0,0.0,8.0,0.0,-8846.5,True
97,C,1066.0,15.0,0.0,15.0,-8846.5,False
98,A,1090.0,15.0,6.0,15.0,-10753.0,False
98,B,0.0,0.0,10.0,0.0,-10753.0,True
98,C,1070.0,15.0,11.0,15.0,-10753.0,False
99,A,1105.0,15.0,0.0,15.0,-9108.0,False
99,B,0.0,0.0,8.0,0.0,-9108.0,True
99,C,1085.0,15.0,0.0,15.0,-9108.0,False
100,A,1120.0,15.0,0.0,15.0,-11123.0,False
100,B,0.0,0.0,10.0,0.0,-11123.0,True
100,C,1100.0,15.0,0.0,15.0,-11123.0,False
101,A,1127.0,15.0,8.0,15.0,-871.5,False
101,B,0.0,0.0,0.0,0.0,-871.5,True
101,C,1110.0,15.0,5.0,15.0,-871.5,False
102,A,1131.0,15.0,11.0,15.0,-921.0,False
102,B,0.0,0.0,0.0,0.0,-921.0,True
102,C,1125.0,15.0,0.0,15.0,-921.0,False
103,A,1146.0,15.0,0.0,15.0,-1156.0,False
